CNPJ,data_abertura
26765666000124,
26102312000108,2016-09-05
03691565000150,1987-07-03
91646638000150,
09431926000106,2008-03-06
17702363000171,2013-03-06
38022734000144,
02332397001116,1999-03-23
22978240000106,
17650702000113,2013-02-27
38356951000170,2020-09-05
28525873000137,2017-08-29
19691435000158,
00820565000115,1995-09-26
02427164000125,1998-03-24
21690280000268,2021-01-15
29190331000113,2017-12-01
32204586000100,2018-10-24
47507275000180,2022-08-10
50219434000155,2023-04-05
21770668000198,2015-01-28
24276137000131,
16649845000142,2012-07-27
29921681000102,1985-12-02
03977536000400,
44022113000163,2021-10-26
37657544000130,
95363719000101,1992-10-29
39244756000111,2020-09-30
16243181000117,2012-07-07
23801763000137,2015-12-07
32456120000194,2019-01-15
53437772000151,2024-01-10
37446393000171,2020-06-17
56016173000152,1986-07-10
37113886000190,2020-05-11
36073251000143,2020-01-21
48340503000132,2022-10-19
30815958000100,2018-06-29
35149181000105,2019-10-10
17346912000112,2013-01-01
20880821000177,2014-08-21
08284509000115,2006-08-17
86929825000100,1994-03-21
37241563000181,2020-05-27
34003778000176,2019-06-24
27002375000147,2017-02-01
16265656000176,2012-07-07
09726871000161,2008-07-06
06028254000102,
12272114000170,2010-07-22
31273722000143,
77920767000163,1978-12-27
51742471000106,2023-08-09
09550681000136,2008-04-11
38696128000104,2020-09-23
01646459000120,1997-02-06
40220768000195,2020-12-30
36080417000159,
52624590000127,1983-06-10
19451002000125,2013-12-26
39818421000160,2020-11-17
10350307000176,2008-09-11
16175894000190,2012-07-06
22079365000196,
40648515000117,2021-02-01
07124151000109,2004-09-30
15759102000162,2012-05-29
42518352000183,2021-06-29
18851110000122,2013-09-11
01446073000174,1996-09-13
28617549000149,2017-09-12
51255001000118,2023-06-30
20750903000105,
05744924000116,2003-07-03
12870312000135,2010-11-17
07210925008271,
03574734000172,
14262757000168,2011-09-09
11204448000143,
39725590000155,2020-11-10
51663542000185,2023-08-02
25266715000111,2016-07-22
34121343000126,1970-10-29
38968271000108,2020-09-25
28792763000131,
05656085000184,
22852886000134,2015-07-15
44066516000104,2021-10-29
20735393000199,2014-07-30
30916894000125,1980-09-23
53385585000171,2024-01-05
43463378000134,
15104520000111,2012-02-23
16647289000337,
22673036000179,2015-06-18
37351387000130,2020-06-08
13868892000199,2011-06-28
25819641000101,2016-08-15
05116001000110,2002-06-07
